station_id_int,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys
3664,North Moore St & Greenwich St,5470.12,40.72019521,-74.01030064,71,"KEY, CREDITCARD",29,FALSE,2,1,0,29,TRUE,TRUE,TRUE,FALSE
4682,W 34 St & Hudson Blvd E,6535.04,40.75516719,-74.00059909,71,"KEY, CREDITCARD",57,FALSE,2,1,52,2,TRUE,TRUE,TRUE,FALSE
3233,E 48 St & 5 Ave,6626.01,40.75724568,-73.97805914,71,"KEY, CREDITCARD",62,FALSE,2,1,43,14,TRUE,TRUE,TRUE,FALSE
244,Willoughby Ave & Hall St,4611.03,40.69196035,-73.96536851,71,"KEY, CREDITCARD",51,FALSE,12,1,32,6,TRUE,TRUE,TRUE,FALSE
525,W 34 St & 11 Ave,6578.01,40.75594159,-74.0021163,71,"KEY, CREDITCARD",80,FALSE,35,1,22,19,TRUE,TRUE,TRUE,FALSE
3539,W 116 St & Amsterdam Ave,7692.11,40.8067581,-73.9607082,71,"KEY, CREDITCARD",43,FALSE,0,2,27,11,TRUE,TRUE,TRUE,FALSE
3735,W 30 St & 10 Ave,6459.07,40.752694,-74.002353,71,"KEY, CREDITCARD",56,FALSE,23,2,27,2,TRUE,TRUE,TRUE,FALSE
4629,Webb Ave & W 190 St,8624.01,40.8660052,-73.90425489,71,"KEY, CREDITCARD",22,FALSE,0,3,14,5,TRUE,TRUE,TRUE,FALSE
4645,5 Ave & E 87 St,7323.09,40.78232261,-73.95987511,71,"KEY, CREDITCARD",38,FALSE,2,3,17,15,TRUE,TRUE,TRUE,FALSE
3740,W Broadway & W Houston St,5644.05,40.726378,-74.000472,71,"KEY, CREDITCARD",50,FALSE,28,5,8,8,TRUE,TRUE,TRUE,FALSE
3376,E 65 St & 2 Ave,6860.12,40.76471852,-73.9622207,71,"KEY, CREDITCARD",48,FALSE,10,7,21,9,TRUE,TRUE,TRUE,FALSE
4990,9 Ave & W 39 St,6644.08,40.75640352,-73.99410143,71,"KEY, CREDITCARD",36,FALSE,20,7,7,2,TRUE,TRUE,TRUE,FALSE
4164,E 174 St & Longfellow Ave,8144.09,40.836274,-73.884308,71,"KEY, CREDITCARD",20,FALSE,2,10,0,7,TRUE,TRUE,TRUE,FALSE
4611,E Mosholu Pkwy & E 204 St,8748.02,40.8740704,-73.88336509,71,"KEY, CREDITCARD",19,FALSE,0,12,0,5,TRUE,TRUE,TRUE,FALSE
4987,4567.07,4567.07,0,0,0,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,TRUE,TRUE,FALSE
3792,Columbus Dr at Exchange Pl,JC106,40.71687,-74.03281,70,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
3603,31 Ave & 30 St,6857.09,40.7647,-73.9240312,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4131,Goble Pl & Macombs Rd,8269.01,40.844075,-73.917256,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4672,48 Ave & 31 St,6151.05,40.74133,-73.93616,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4840,60 Pl & Bleecker St,5138.03,40.71119,-73.90307,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4851,65 Pl & Central Ave,4937.03,40.70264,-73.88981,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4855,Grove St & Fresh Pond Rd,5168.04,40.71032,-73.89955,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4857,Metropolitan Ave & 65 Ln,5160.01,40.71225,-73.89111,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4861,60 Pl & Flushing Ave,5431.01,40.71988,-73.90556,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4868,Grand Ave & Remsen Pl,5570.04,40.72353,-73.89967,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4891,Quincy St & Malcolm X Blvd,4534.02,40.68927,-73.93017,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4899,Jefferson Ave & Patchen Ave,4375.02,40.68609,-73.92628,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4912,Fulton St & Williams Ave,4120.02,40.67709,-73.9008,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4943,E New York Ave & St Marks Ave,3982.02,40.67293,-73.90909,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4958,Pacific St & Sackman St,4014.01,40.67522,-73.9061,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4961,61 St & Borden Ave,5611.04,40.72558,-73.90417,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4985,St Johns Pl & Saratoga Ave,3877.01,40.66989758,-73.91696379,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5004,58 St & 56 Dr,5548.01,40.72419,-73.91244,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5015,Crown St & Rogers Ave,3768.02,40.66639,-73.95346,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5016,New York Ave & Crown St,3800.02,40.66626,-73.948,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5017,Albany Ave & Carroll St,3791.02,40.6667,-73.93972,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5018,Crown St & Troy Ave,3751.05,40.66559,-73.93712,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5019,Kingston Ave & Montgomery St,3759.07,40.66481,-73.94269,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5021,Lewis Ave & Fulton St,4196.01,40.67972,-73.93467,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5025,Kingston Ave & Carroll St,3831.03,40.66688,-73.9425,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5026,Schenectady Ave & President St,3822.08,40.66732,-73.93398,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5027,Empire Blvd & New York Ave,3728.04,40.66403,-73.94769,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5028,Sterling St & Nostrand Ave,3657.06,40.66318,-73.95076,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5029,Rogers Ave & Lincoln Rd,3625.07,40.66127,-73.95352,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5030,Eastern Pkwy & Nostrand Ave,3911.05,40.66967,-73.9503,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5031,Eastern Pkwy & Brooklyn Ave,3871.02,40.66939,-73.94514,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5032,Eastern Pkwy & Schenectady Ave,3893.03,40.66876,-73.93376,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5033,Carroll St & Utica Ave,3782.03,40.66619,-73.93162,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5034,Bedford Ave & Maple St,3625.04,40.66035,-73.95679,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5035,Maple St & Flatbush Ave,3593.01,40.66026,-73.96045,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5036,Flatbush Ave & Fenimore St,3520.01,40.65798,-73.96051,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5037,Parkside Ave & Flatbush Ave,3480.04,40.65563,-73.95968,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5038,Bedford Ave & Fenimore St,3552.09,40.65815,-73.95674,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5039,Bedford Ave & Clarkson Ave,3439.03,40.65519,-73.9564,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5042,Winthrop St & Nostrand Ave,3544.02,40.65707,-73.95005,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5043,Clarkson Ave & Nostrand Ave,3472.03,40.65549,-73.94983,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5044,Maple St & New York Ave,3617.02,40.66104,-73.94795,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5045,New York Ave & Hawthorne St,3504.02,40.65794,-73.94735,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5046,E New York Ave & Brooklyn Ave,3688.07,40.66184,-73.94542,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5047,Midwood St & Kingston Ave,3648.06,40.66067,-73.94243,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5048,E New York Ave & Troy Ave,3680.04,40.66227,-73.93762,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5050,Albany Ave & Winthrop St,3535.02,40.65791,-73.93967,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5051,Midwood St & Utica Ave,3599.01,40.66124,-73.93164,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5052,Clarkson Ave & Utica Ave,3486.02,40.65666,-73.93109,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5056,Catalpa Ave & Woodward Ave,4912.1,40.70229,-73.90145,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5057,Cypress Ave & St Felix Ave,4687.03,40.69559,-73.89927,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5058,65 Pl & Metropolitan Ave,5199.02,40.71237,-73.89499,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5059,Lincoln Rd & Ocean Ave,3633.08,40.6605,-73.9626,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5060,Lefferts Ave & Albany Ave,3719.02,40.66288,-73.94019,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5061,Maple St & Albany Ave,3608.06,40.66155,-73.93974,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5062,Lefferts Ave & Schenectady Ave,3710.07,40.66343,-73.93472,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5066,Grand Ave & 55 St,5369.01,40.71888,-73.91427,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5067,Palmetto St & Traffic Ave,5129.01,40.70929,-73.89441,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5068,64 St & 53 Dr,5688.02,40.72897,-73.90115,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5071,President St & Nostrand Ave,3839.02,40.66811,-73.9505,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
5072,Rutland Rd & Brooklyn Ave,3576.1,40.65969,-73.94517,71,"KEY, CREDITCARD",0,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE
